# player track of capture 2026-09-15_13-16-33-496 (schema 0.34.0, mod 0.28.0): one line per consecutive brain tick from tick 1, the recorder player_px (his feet, player.Bottom) and player_vel columns, px_x,px_y,vel_x,vel_y
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.00,5968.00,0.00,0.00
51256.08,5968.00,0.08,0.00
51256.24,5968.00,0.16,0.00
51256.48,5968.00,0.24,0.00
51256.80,5968.00,0.32,0.00
51257.20,5968.00,0.40,0.00
51257.68,5968.00,0.48,0.00
51258.23,5968.00,0.56,0.00
51258.88,5968.00,0.64,0.00
51259.59,5968.00,0.72,0.00
51260.39,5968.00,0.80,0.00
51261.27,5968.00,0.88,0.00
51262.23,5968.00,0.96,0.00
51263.27,5968.00,1.04,0.00
51264.39,5968.00,1.12,0.00
51265.59,5968.00,1.20,0.00
51266.88,5968.00,1.28,0.00
51268.23,5968.00,1.36,0.00
51269.68,5968.00,1.44,0.00
51271.20,5968.00,1.52,0.00
51272.80,5968.00,1.60,0.00
51274.48,5968.00,1.68,0.00
51276.24,5968.00,1.76,0.00
51278.08,5968.00,1.84,0.00
51280.00,5968.00,1.92,0.00
51282.00,5968.00,2.00,0.00
51284.08,5968.00,2.08,0.00
51286.24,5968.00,2.16,0.00
51288.48,5968.00,2.24,0.00
51290.80,5968.00,2.32,0.00
51293.20,5968.00,2.40,0.00
51295.68,5968.00,2.48,0.00
51298.23,5968.00,2.56,0.00
51300.88,5968.00,2.64,0.00
51303.59,5968.00,2.72,0.00
51306.39,5968.00,2.80,0.00
51309.27,5968.00,2.88,0.00
51312.23,5968.00,2.96,0.00
51315.27,5968.00,3.04,0.00
51318.11,5968.00,2.84,0.00
51321.04,5968.00,2.92,0.00
51324.04,5968.00,3.00,0.00
51327.11,5968.00,3.08,0.00
51329.99,5968.00,2.88,0.00
51332.95,5968.00,2.96,0.00
51335.99,5968.00,3.04,0.00
51338.83,5963.39,2.84,-4.61
51341.75,5958.78,2.92,-4.61
51344.75,5954.17,3.00,-4.61
51347.83,5949.56,3.08,-4.61
51350.81,5944.95,2.98,-4.61
51353.87,5940.34,3.06,-4.61
51356.83,5935.73,2.96,-4.61
51359.87,5931.12,3.04,-4.61
51362.81,5926.51,2.94,-4.61
51365.83,5921.90,3.02,-4.61
51368.75,5917.29,2.92,-4.61
51371.75,5912.68,3.00,-4.61
51374.83,5908.07,3.08,-4.61
51377.81,5903.46,2.98,-4.61
51380.87,5898.85,3.06,-4.61
51383.83,5894.24,2.96,-4.61
51386.87,5890.03,3.04,-4.21
51389.81,5886.22,2.94,-3.81
51392.83,5882.81,3.02,-3.41
51395.75,5879.80,2.92,-3.01
51398.75,5877.19,3.00,-2.61
51401.83,5874.98,3.08,-2.21
51404.81,5873.17,2.98,-1.81
51407.87,5871.76,3.06,-1.41
51410.83,5870.75,2.96,-1.01
51413.87,5870.14,3.04,-0.61
51416.81,5869.93,2.94,-0.21
51419.83,5870.12,3.02,0.19
51422.75,5870.71,2.92,0.59
51425.75,5871.70,3.00,0.99
51428.83,5873.09,3.08,1.39
51431.81,5874.88,2.98,1.79
51434.87,5877.07,3.06,2.19
51437.83,5879.66,2.96,2.59
51440.87,5882.65,3.04,2.99
51443.81,5886.04,2.94,3.39
51446.83,5889.83,3.02,3.79
51449.75,5894.02,2.92,4.19
51452.75,5898.61,3.00,4.59
51455.83,5903.60,3.08,4.99
51458.81,5908.99,2.98,5.39
51461.87,5914.78,3.06,5.79
51464.83,5920.97,2.96,6.19
51467.87,5927.56,3.04,6.59
51470.81,5934.55,2.94,6.99
51473.83,5941.94,3.02,7.39
51476.75,5949.73,2.92,7.79
51479.75,5957.92,3.00,8.19
51482.83,5966.51,3.08,8.59
51485.81,5975.50,2.98,8.99
51488.87,5984.00,3.06,8.50
51491.83,5984.00,2.96,0.00
51494.87,5984.00,3.04,0.00
51497.71,5984.00,2.84,0.00
51500.63,5984.00,2.92,0.00
51503.63,5984.00,3.00,0.00
51506.71,5984.00,3.08,0.00
51509.59,5984.00,2.88,0.00
51512.55,5984.00,2.96,0.00
51515.59,5984.00,3.04,0.00
51518.43,5984.00,2.84,0.00
51521.35,5984.00,2.92,0.00
51524.35,5984.00,3.00,0.00
51527.43,5984.00,3.08,0.00
51530.31,5984.00,2.88,0.00
51533.27,5984.00,2.96,0.00
51536.31,5984.00,3.04,0.00
51539.15,5984.00,2.84,0.00
51542.07,5984.00,2.92,0.00
51545.07,5984.00,3.00,0.00
51548.15,5984.00,3.08,0.00
51551.03,5984.00,2.88,0.00
51553.99,5984.00,2.96,0.00
51557.03,5984.00,3.04,0.00
51559.87,5984.00,2.84,0.00
51562.79,5984.00,2.92,0.00
51565.79,5984.00,3.00,0.00
51568.87,5984.00,3.08,0.00
